"eventId","label","orgId","from","to"
"preds.Predsedstvo-01","1. mandat (Sergej Kraigher)","preds.Predsedstvo","1974-05","1978-05"
"preds.Predsedstvo-02","2. mandat (Sergej Kraigher)","preds.Predsedstvo","1978-05","1979-05"
"preds.Predsedstvo-03","1. mandat (Viktor Avbelj)","preds.Predsedstvo","1979-05","1982-05"
"preds.Predsedstvo-04","2. mandat (Viktor Avbelj)","preds.Predsedstvo","1982-05","1984-05-07"
"preds.Predsedstvo-05","2. mandat (Viktor Avbelj)","preds.Predsedstvo","1982-05","1984-05-07"
"preds.Predsedstvo-06","1. mandat (France Popit)","preds.Predsedstvo","1984-05-07","1986-05"
"preds.Predsedstvo-07","2. mandat (France Popit)","preds.Predsedstvo","1986-05","1988-05"
"preds.Predsedstvo-08","mandat (Janez Stanovnik)","preds.Predsedstvo","1988-05","1990-05-10"
"preds.Predsedstvo-09","mandat (Milan Kučan)","preds.Predsedstvo","1990-05-10","1992-12-06"
"preds.Predsednik-01","1. mandat (Milan Kučan)","preds.Predsednik","1992-12-06","1997-11-23"
"preds.Predsednik-02","2. mandat (Milan Kučan)","preds.Predsednik","1997-11-23","2002-12-22"
"preds.Predsednik-03","1. mandat (Janez Drnovšek)","preds.Predsednik","2002-12-22","2007-12-23"
"preds.Predsednik-04","1. mandat (Danilo Türk)","preds.Predsednik","2007-12-23","2012-12-22"
"preds.Predsednik-05","1. mandat (Borut Pahor)","preds.Predsednik","2012-12-23","2017-12-22"
"parl.Skup-01","1. sklic (1947-1950)","parl.Skup","",""
"parl.Skup-11","11. sklic (1990-1992)","parl.Skup","1990-05-08","1992-12-23"
"gov.VladaRS-1","1. vlada Republike Slovenije (1990-1992)","gov.VladaRS","1990-05-16","1992-05-14"
"gov.VladaRS-2","2. vlada Republike Slovenije (1992-1993)","gov.VladaRS","1992-05-14","1993-01-23"
